name,add1,add2,time
강남 2호점,서울 강남구 역삼동 822-2,서울 강남구 테헤란로 107 메디타워2층,08:00~24:00
미아역,서울 강북구 미아동 197-5,서울 강북구 도봉로 204 미아역 맥도날드,07:00~02:00
마리오 아울렛,서울 금천구 가산동 60-22,서울 금천구 디지털로 185 마리오아울렛1,09:00~22:00
등촌 DT,서울 강서구 등촌동 630,서울 강서구 양천로 546,24시간
잠실역,서울 송파구 신천동 7-25,서울 송파구 송파대로 558,06:00 ~ 24:00
성균관대,서울 종로구 명륜2가 197-1,서울 종로구 창경궁로 241-1,08:00~24:00
석촌역,서울 송파구 송파동 84,서울 송파구 백제고분로 390,24시간
서울교대점,서울 서초구 서초동 1674-5,서울 서초구 서초대로 316(서초동) ,10:00~22:30
양평SK DT,서울 영등포구 양평동3가 80-2,서울 영등포구 선유로 195,24시간
신월남부 DT점,서울 양천구 신월동 525-1,서울 양천구 남부순환로 553 (신월동) ,07:00~24:00
연세대점,서울 서대문구 창천동 33-12,서울 서대문구 연세로 33,24시간
삼성역,서울 강남구 삼성동 158-15,서울 강남구 삼성로92길 29 도일빌딩 1층,24시간
합정메세나폴리스,서울 마포구 서교동 490,서울 마포구 양화로 45 메세나폴리스 2층 맥도날드,"일~목 07:00~24:00, 금~토 7:00~01:00"
여의도,서울 영등포구 여의도동 23,서울 영등포구 국제금융로 10 L3층,07:00~22:00
강남구청,서울 강남구 논현동 242-29,서울 강남구 선릉로 667,24시간
어린이대공원점,서울 광진구 화양동 212,서울 광진구 광나루로 392,09:00~02:00
명동 2호점,서울 중구 회현동3가 1-5,서울 중구 퇴계로 116-1 (회현동 3가),10:30~22:00
가산디지털,서울 금천구 가산동 50-3,서울 금천구 벚꽃로 298 대륭포스트타워 6차,08:00~24:00
양재 SK DT,서울 서초구 양재동 81,서울 서초구 바우뫼로 178,24시간
가산비지니스센터점,서울 금천구 가산동 371-6,서울 금천구 가산디지털1로 165 (가산동),07:00~22:00
이수점,서울 동작구 사당동 147-29,서울 동작구 사당로 300 (사당동) ,07:00~22:00
신도림 디큐브,서울 구로구 신도림동 692,서울 구로구 경인로 662 디큐브시티 B2,07:00~22:00
공덕점,서울 마포구 도화동 559,서울 마포구 마포대로 53 (도화동),07:00~22:00
중앙대,서울 동작구 흑석동 221,서울 동작구 흑석로 84 (R&D센터 지하1층 맥도날드),08:00~24:00
한티역,서울 강남구 대치동 938-22,서울 강남구 도곡로 409,24시간
선릉,서울 강남구 역삼동 707-27,서울 강남구 테헤란로 326 아이타워 1층 맥도날드,08:00~24:00
서초GS점,서울 서초구 서초동 1536-1,서울 서초구 효령로49길 52 (서초동) ,"평일 07시~22시
주말 08시~20시"
명동,서울 중구 명동1가 48-2,서울 중구 명동7길 8,07:00~24:00
구로디지털,서울 구로구 구로동 197-21,서울 구로구 디지털로31길 12 태평양물산 1층 맥도날드,24시간
종로 3,서울 종로구 종로3가 10,서울 종로구 종로 115,07:00~22:00
은평이마트,서울 은평구 응암동 90-1,서울 은평구 은평로 111 은평이마트 8층 맥도날드,"10:00~22:00 2,4째주 일요일 휴무"
압구정CGV,서울 강남구 신사동 603-2,서울 강남구 논현로 848 1층 맥도날드,08:00~22:00
서초뱅뱅,서울 서초구 서초동 1338-20,"서울 서초구 강남대로 305, 101호(서초 현대렉시온)",24시간
쌍문DT점,서울 도봉구 쌍문동 700,서울 도봉구 도봉로 541 (쌍문동) ,07:00~02:00
성수이마트,서울 성동구 성수동2가 333-16,서울 성동구 뚝섬로 379,"10:00~22:00 2,4째주 일요일 휴무"
양재,서울 서초구 양재동 24,서울 서초구 강남대로 213,07:00~24:00
신도림 테크노점,서울 구로구 구로동 3-25,서울 구로구 새말로 97 (구로동),09:00~24:00
서울역,서울 용산구 동자동 43-205,서울 용산구 청파로 378 서울역 2층,04:30~01:00
종암SK,서울 성북구 종암동 10-15,서울 성북구 종암로 58,24시간
구산,서울 은평구 구산동 1-14,서울 은평구 연서로 131 홍천빌딩,24시간
가락DT점,서울 송파구 가락동 193-7,서울 송파구 동남로 196,07:00~24:00
신천,서울 송파구 잠실동 181-9,서울 송파구 올림픽로 108 맥스빌딩 1층,24시간
송정역,서울 강서구 공항동 45-38,"서울 강서구 공항대로 21 (공항동,맥도날드)",24시간
전농,서울 동대문구 전농동 295-96,서울 동대문구 전농로16길 8,08:00~24:00
파리공원점,서울 양천구 목동 908-25,서울 양천구 목동서로 45 (목동) ,07:00~24:00
연신내,서울 은평구 갈현동 456-28,서울 은평구 연서로 213,24시간
상봉이마트,서울 중랑구 망우동 506-1,서울 중랑구 상봉로 118 이마트상봉점 내 맥도날드,"10:00~22:30
2,4째주 일요일 휴무"
청담DT,서울 강남구 청담동 87-3,서울 강남구 도산대로 407,07:00~24:00
양천구청DT점,서울 양천구 신정동 323-20,서울 양천구 목동동로 71 (신정동) ,07:00~01:00
한양대,서울 성동구 행당동 31-7,서울 성동구 왕십리로 227,24시간
신내,서울 중랑구 신내동 666,서울 중랑구 봉화산로 194 신아타운1층 신내 맥도날드,24시간
대학로,서울 종로구 동숭동 1-34,서울 종로구 대학로 130 맥도날드,07:00~01:00
중계역,서울 노원구 상계동 763-2,서울 노원구 동일로 1341 장우빌딩 1층,24시간
구의역,서울 광진구 자양동 216-11,서울 광진구 아차산로 376,24시간
목동,서울 양천구 신정동 899-6,서울 양천구 목동로 221,24시간
중랑,서울 중랑구 상봉동 130-166,서울 중랑구 망우로 202 동성빌딩,08:00~24:00
중계,서울 노원구 중계동 359-14,서울 노원구 중계로 218,24시간
삼선,서울 성북구 동소문동1가 32-3,서울 성북구 동소문로 13 일화빌딩 1층,08:00~24:00
영등포,서울 영등포구 영등포동3가 10-4,서울 영등포구 경인로 855,07:00~02:00
신림,서울 관악구 신림동 1641-22,서울 관악구 신림로 310,24시간
안암,서울 성북구 안암동5가 102-33,서울 성북구 고려대로24길 42 방주빌딩,24시간
수유,서울 강북구 번동 418-17,서울 강북구 도봉로 342,24시간
방배,서울 서초구 방배동 909-9,서울 서초구 방배로 81 유경빌딩 1층,24시간
노량진,서울 동작구 노량진동 100-1,서울 동작구 노량진로 158,24시간
이태원,서울 용산구 이태원동 56-21,서울 용산구 이태원로 142-1,11:00 ~ 07:00
신월DT,서울 양천구 신월동 199-3,서울 양천구 남부순환로 404,24시간
장안사거리점,서울 동대문구 장안동 308-4,서울 동대문구 답십리로 291-1 (장안동) ,08:00~24:00
외대,서울 동대문구 이문동 305-2,서울 동대문구 휘경로 13,24시간
신사역,서울 강남구 신사동 514-15,서울 강남구 도산대로 123 2층,24시간
학동역,서울 강남구 논현동 129-1,서울 강남구 논현로 667,07:00~22:30
염창 DT점,서울 강서구 염창동 280-11,서울 강서구 공항대로71길 3 (염창동) ,07:00~24:00
명지대점,서울 서대문구 남가좌동 324-3,서울특별시 서대문구 거북골로 25 (남가좌동),08:00~22:00
숭실대,서울 동작구 상도동 505-5,서울 동작구 사당로 22 창주빌딩 1층,24시간
상계DT,서울 노원구 상계동 1022,서울 노원구 동일로 1612,24시간
양주휴게소DT,경기 양주시 장흥면 삼하리 250-16,경기 양주시 장흥면 서울외곽순환고속도로 58 양주간이휴게시설내 양주휴게소DT점,24시간
상일동점,서울 강동구 상일동 502,서울 강동구 상일로6길 39,07:00~22:00
방학역DT점,서울 도봉구 도봉동 620-25,서울 도봉구 도봉로 735,08:00~01:00
송파잠실DT,서울 송파구 잠실동 305-15,서울 송파구 도곡로 434,24시간
과학기술대점,서울 노원구 공릉동 435-2,서울 노원구 공릉로 231,07:00~23:00
서울시흥DT,서울 금천구 시흥동 903-4,서울 금천구 시흥대로 184,24시간
서울번동DT점,서울 강북구 번동 106,서울특별시 강북구 월계로 191,07:00~02:00
미아DT,서울 강북구 미아동 682-12,서울 강북구 삼양로 158,24시간
우장산DT,서울시 강서구 화곡동 1026,서울시 강서구 화곡동 1026,08:00~22:00
굽은다리역DT,서울 강동구 천호동 31-10,서울 강동구 양재대로 1587,24시간
